Site,Camera,Time,DateOfHit,DateInstalled,DateRemoved,Species,Count
Conference,CC1,4:08,9/28/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,2:07,9/28/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,4:17,9/28/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,4:40,9/28/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,18:53,9/29/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,1:27,9/29/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,4:37,9/29/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,19:40,9/29/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,3:36,10/1/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,20:35,10/1/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,22:11,10/2/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,19:29,10/4/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,20:07,10/4/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,20:50,10/4/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,22:30,10/4/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,1:10,10/5/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,1:27,10/5/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,2:18,10/5/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,4:10,10/5/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,0:59,10/6/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,4:16,10/6/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,19:13,10/6/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,21:34,10/6/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,2:32,10/7/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,4:58,10/7/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,5:02,10/7/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,18:58,10/7/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,0:53,10/7/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,19:06,10/8/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,18:55,10/9/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,20:23,10/9/20,9/27/20,10/11/20,Brown rats,1
Conference,CC2,4:15,10/10/20,9/27/20,10/11/20,Brown rats,1
Conference,CC3,22:29,9/27/20,9/27/20,10/11/20,Brown Rat,1
Conference,CC3,0:30,9/27/20,9/27/20,10/11/20,Brown Rat,1
Conference,CC3,2:28,9/28/20,9/27/20,10/11/20,Brown rats,1
Conference,CC3,20:35,9/28/20,9/27/20,10/11/20,Brown rats,1
Conference,CC3,3:01,10/2/20,9/27/20,10/11/20,Brown rats,1
Conference,CC3,22:26,10/2/20,9/27/20,10/11/20,Brown rats,1
Levera,L2,18:42,9/12/20,9/12/20,9/26/20,Brown rat,1
Levera,L2,13:52,9/13/20,9/12/20,9/26/20,Mongoose,1
Levera,L2,20:51,9/14/20,9/12/20,9/26/20,Brown rat,1
Levera,L2,21:04,9/15/20,9/12/20,9/26/20,Brown rat,1
Levera,L2,0:35,9/15/20,9/12/20,9/26/20,Brown rat,1
Levera,L2,20:51,9/20/20,9/12/20,9/26/20,Brown rat,1
Levera,L2,22:24,9/20/20,9/12/20,9/26/20,Brown rat,1
Levera,L2,15:11,9/21/20,9/12/20,9/26/20,Brown rat,1
Levera,L2,19:12,9/21/20,9/12/20,9/26/20,Brown rat,1
Levera,L2,18:58,9/22/20,9/12/20,9/26/20,Brown rat,1
Levera,L2,22:58,9/22/20,9/12/20,9/26/20,Brown rat,1
Levera,L2,18:36,9/24/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,16:47,9/13/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,7:16,9/14/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,7:52,9/14/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,8:21,9/14/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,9:01,9/14/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,9:42,9/14/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,12:27,9/14/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,13:54,9/14/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,15:21,9/14/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,15:54,9/14/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,16:07,9/14/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,20:45,9/14/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,21:05,9/14/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,21:59,9/14/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,2:54,9/15/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,3:47,9/15/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,4:11,9/15/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,4:15,9/15/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,5:12,9/15/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,6:47,9/15/20,9/12/20,9/26/20,Mongoose ,1
Levera,L3,20:17,9/15/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,8:56,9/15/20,9/12/20,9/26/20,Mongoose ,2
Levera,L3,15:06,9/15/20,9/12/20,9/26/20,Dog,1
Levera,L3,17:49,9/15/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,21:19,9/15/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,0:42,9/16/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,4:01,9/16/20,9/12/20,9/26/20,Brown rat,2
Levera,L3,4:46,9/16/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,6:51,9/16/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,4:13,9/17/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,3:13,9/18/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,3:55,9/18/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,4:36,9/18/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,15:14,9/18/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,21:37,9/18/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,3:48,9/19/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,6:51,9/19/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,23:48,9/19/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,4:52,9/20/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,3:10,9/21/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,7:50,9/21/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,8:41,9/21/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,17:02,9/21/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,23:49,9/22/20,9/12/20,9/26/20,Brown Rat,1
Levera,L3,19:38,9/24/20,9/12/20,9/26/20,Brown Rat,1
Mt Hartman,MH3,14:59,9/14/20,9/14/20,9/28/20,Mongoose ,1
Mt Hartman,MH3,9:43,9/17/20,9/14/20,9/28/20,Cat,1
Mt Hartman,MH3,5:22,9/19/20,9/14/20,9/28/20,Cat,1